日期,销量
20200101,237
20200102,243
20200103,257
20200104,254
20200105,246
20200106,260
20200107,273
20200108,273
20200109,261
20200110,244
20200111,229
20200112,243
20200113,240
20200114,251
20200115,266
20200116,260
20200117,250
20200118,274
20200119,295
20200120,295
20200121,283
20200122,258
20200123,239
20200124,265
20200125,270
20200126,275
20200127,303
20200128,288
20200129,297
20200130,303
20200131,324
20200201,324
20200202,309
20200203,287
20200204,271
20200205,291
20200206,296
20200207,305
20200208,318
20200209,306
20200210,308
20200211,343
20200212,355
20200213,367
20200214,334
20200215,316
20200216,297
20200217,319
20200218,321
20200219,321
20200220,361
20200221,360
20200222,354
20200223,368
20200224,389
20200225,397
20200226,362
20200227,336
20200228,305
20200229,326
20200301,329
20200302,313
20200303,360
20200304,352
20200305,359
20200306,389
20200307,427
20200308,418
20200309,384
20200310,354
20200311,328
20200312,354
20200313,367
20200314,358
20200315,392
20200316,394
20200317,395
20200318,440
20200319,489
20200320,472
20200321,437
20200322,399
20200323,362
20200324,403
20200325,409
20200326,402
20200327,442
20200328,438
20200329,443
20200330,499
20200331,538
20200401,530
20200402,480
20200403,431
20200404,396
20200405,431
20200406,440
20200407,426
20200408,481
20200409,473
20200410,480
20200411,547
20200412,590
20200413,592
20200414,529
20200415,472
20200416,430
20200417,461
20200418,465
20200419,443
20200420,487
20200421,473
20200422,488
20200423,560
20200424,616
20200425,630
20200426,529
20200427,484
20200428,435
20200429,462
20200430,485
20200501,467
20200502,531
20200503,521
20200504,545
20200505,597
20200506,673
20200507,684
20200508,588
20200509,532
20200510,487
20200511,530
20200512,542
20200513,516
20200514,544
20200515,586
20200516,597
20200517,660
20200518,747
20200519,731
20200520,633
20200521,586
20200522,515
20200523,557
